Gyms,Latitude,Longitude,Address,State
Model Metro Train At Metro Bhawan ,28.631717,77.225723,Metro Bhawan Fire Brigade Ln,Delhi
Modern School Mural ,28.628385,77.229938,Todarmal Ln,Delhi
Mohammadi Masjid ,19.074087,72.871263,1 Central Salsette Tramway Road,Maharashtra
Mother Mary Statue DBIT ,19.08208,72.888955,Naupada Vidhyavihar Road,Maharashtra
Mother Teresa Mural ,28.644066,77.188656,26 Sadhu Vasvani Marg,Delhi
Mumbai Airport Blooming Lotuses ,19.093935,72.871283,Vile Parle,Maharashtra
Mumbai University Gate Monument ,19.073901,72.852733,5 SCLR,Maharashtra
Mumbai University Gate Mural ,19.072903,72.860661,Central Salsette Tramway Road,Maharashtra
Mumbai University Water Tower ,19.073145,72.854947,Chatrapati Shivaji Terminus Road,Maharashtra
Munisurat Garden Pillar ,19.08483,72.90402,Karani Ln,Maharashtra
Mural ,28.596973,77.17374,Chanakyapuri,Delhi
Murugan Temple ,19.06805,72.905959,Chedda Nagar,Maharashtra
Muslim Masjid ,19.089625,72.885102,4/D Pipeline Rd,Maharashtra
Onwards and Upwards ,19.053752,72.894755,C-2 RC Marg,Maharashtra
Park Fountain ,28.576941,77.195551,195 Lane G,Delhi
Peacock Pillars ,19.099899,72.875334,Vile Parle,Maharashtra
Phoenix Market City ,19.085306,72.887354,57 LBS Marg,Maharashtra
Prachin Shiva Shakti Mandir ,28.591423,77.240697,Lala Lajpat Rai Rd,Delhi
Pragati Maidan ,28.616467,77.24183,AB-14 Mathura Rd,Delhi
Pragati Maidan Metro Station ,28.623405,77.242517,H-559/10 Mathura Rd,Delhi
Psy Duck Statue ,19.06983,72.897487,14-B Rd Number 12,Maharashtra
Race Course ,28.596553,77.203773,Mustafa Kemal Attaturk Rd,Delhi
Rajendra Nagar Water Tank ,28.641046,77.179617,21/48 Chela Ram Rd,Delhi
Ram Yantra ,28.626531,77.216456,Tolstoy Rd,Delhi
Ramakrishna Ashram Marg Metro Station ,28.63918,77.208542,5 Panchkuian Marg,Delhi
Sacred Heart Cathedral ,28.628404,77.206694,Gol Dak Khana Roundabout,Delhi
Sai Baba Mandir ,19.079252,72.853853,101 Rajendra Kamble Rd,Maharashtra
Sai Mandir ,19.064995,72.850826,6-3 Ramkrushna Paramhans Marg,Maharashtra
Saki Naka Metro Station ,19.103386,72.888008,Andheri - Ghatkopar Rd,Maharashtra
Sher Mandal ,28.608762,77.245134,Unnamed Road,Delhi
Shirdi Sai Temple ,19.078372,72.90438,3 Bhaweshwar Road,Maharashtra
Shiv Mandir ,19.082401,72.849123,Dhobhi Ghat,Maharashtra
Shiv Temple Entrance ,28.637839,77.187415,22/4 Sir Ganga Ram Hospital Marg,Delhi
Shivaji Bridge Railway Station ,28.63351,77.225737,Barakhamba,Delhi
Shivaji Park Statue ,28.638703,77.223886,9/8 Minto Rd,Delhi
Shree Rajiv Samruth Chowk Pillar ,19.069807,72.897089,Rd Number 12,Maharashtra
Shree Shaneshwar Mandir ,19.078324,72.846463,Service Rd,Maharashtra
Shri Bhulingeshwar Mandir Trust ,19.061135,72.897808,29 RC Marg,Maharashtra
Shri GuruGranth Sahib Ji ,28.626462,77.209182,68 Ashoka Rd,Delhi
Sindhi Society Pond ,19.051624,72.890871,143 Sindhi Society No 1 Rd,Maharashtra
Sir Ganga Ram Statue ,28.638847,77.189737,22/1 Sarhadi Gandhi Marg,Delhi
Somaiya Ground ,19.073857,72.898927,Somaiya Running Track,Maharashtra
St. Anthony's Church ,19.080662,72.852957,841 Jawaharlal Nehru Rd,Maharashtra
St. Jude Church ,19.093246,72.885416,4/D Pipeline Rd,Maharashtra
St. Thomas Church ,28.639564,77.203973,487 Mandir Marg,Delhi
Statesman House ,28.630603,77.222438,N-6 Connaught Circus,Delhi
Statue of Jhansi Ki Rani ,28.646877,77.204995,DB Gupta Road,Delhi
Stone Art Waterfall Fountain ,28.63692,77.223197,B-99 Minto Rd,Delhi
Swatantraveer Sawarkar Chowk ,19.065099,72.880766,736 Aala Hazrat Rd,Maharashtra
Swatantraya Sainik Raghuveer Singh Govind Singh Manhaas Chowk ,19.072823,72.861193,Central Salsette Tramway Road,Maharashtra
Taqirah Mosque ,19.098625,72.886392,B-602 Pipeline Rd,Maharashtra
Teen Murti ,28.604841,77.198868,Teen Murti Cir,Delhi
Temple At Nafa ,19.071185,72.863,201 Manipada Rd,Maharashtra
Temple by the Road ,28.646877,77.192648,10160 Padam Singh Rd,Delhi
Thambi ,19.083976,72.883654,63 LBS Marg,Maharashtra
Three Circled Pillar त्रिवर्तुळ स्तंभ ,19.080958,72.904359,1 MG Road,Maharashtra
Thyagaraj Stadium ,28.577181,77.216316,Shri Jagannath Marg,Delhi
Tilak Bridge Railway Station ,28.626711,77.240008,Mahawat Khan Rd,Delhi
Trade Centre ,19.07253,72.871185,Kanzul Iman Road,Maharashtra
Travancore Palace ,28.619487,77.228106,Shrimant Madhav Rao Scindia Marg,Delhi
Trident Water Fountain ,19.067093,72.865702,Semsons Rd,Maharashtra
Unique Sculpture ,28.579224,77.214232,Shri Jagannath Marg,Delhi
Use Me at British Council ,28.62719,77.222556,19 KG Marg,Delhi
Vikrant Circle ,19.075312,72.905223,17-9 Tilak Rd,Maharashtra
Vyayaam Shala ,19.060268,72.882566,116 Manohar Satam Rd,Maharashtra
Wall Art ,28.59074,77.233446,Lodhi Rd,Delhi
Wall Fountain at Rustamjee Aspiree ,19.049256,72.877373,Sewri-Chembur Rd,Maharashtra
Wall Mural ,28.628055,77.222689,360 KG Marg,Delhi
Wall Of Lords ,28.577195,77.194412,48 Lane H,Delhi
Water Tank ,28.586123,77.231155,Bhishma Pitamah Marg,Delhi
Zakir Husain Delhi College ,28.640031,77.230247,Jawaharlal Nehru Marg,Delhi
